mysql> select category, description, count(refseq.id) from go, refseq, gorefs where category = 'Function' and gorefs.refseq_id = refseq.id and go.id = gorefs.go_id group by go.description order by count(refseq.id) desc;
+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+
| category | description                                                                                                                                                                                 | count(refseq.id) |
| Function | ubiquitin protein ligase binding                                                                                                                                                            |                3 | 
| Function | acrosin binding                                                                                                                                                                             |                3 | 
| Function | acetylcholine receptor binding                                                                                                                                                              |                3 | 
| Function | transcription activator binding                                                                                                                                                             |                3 | 
| Function | propanoyl-CoA C-acyltransferase activity                                                                                                                                                    |                3 | 
| Function | D-dopachrome decarboxylase activity                                                                                                                                                         |                3 | 
| Function | apolipoprotein binding                                                                                                                                                                      |                3 | 
| Function | retinol transporter activity                                                                                                                                                                |                3 | 
| Function | ethanol binding                                                                                                                                                                             |                3 | 
| Function | vitamin D receptor binding                                                                                                                                                                  |                3 | 
| Function | purinergic nucleotide receptor activity, G-protein coupled                                                                                                                                  |                3 | 
| Function | SMAD binding                                                                                                                                                                                |                3 | 
| Function | thyroid hormone receptor binding                                                                                                                                                            |                3 | 
| Function | 3-alpha-hydroxysteroid dehydrogenase (A-specific) activity                                                                                                                                  |                3 | 
| Function | trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity                                                                                                                                    |                3 | 
| Function | N-acetyllactosaminide 3-alpha-galactosyltransferase activity                                                                                                                                |                3 | 
| Function | glutamine-phenylpyruvate transaminase activity                                                                                                                                              |                3 | 
| Function | [3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity                                                                                                               |                3 | 
| Function | cysteine-S-conjugate beta-lyase activity                                                                                                                                                    |                3 | 
| Function | mRNA 5'-UTR binding                                                                                                                                                                         |                3 | 
| Function | quinone binding                                                                                                                                                                             |                3 | 
| Function | phytanoyl-CoA dioxygenase activity                                                                                                                                                          |                3 | 
| Function | phenylpyruvate tautomerase activity                                                                                                                                                         |                3 | 
| Function | prostaglandin-E synthase activity                                                                                                                                                           |                3 | 
| Function | testosterone 17-beta-dehydrogenase activity                                                                                                                                                 |                3 | 
| Function | GABA receptor binding                                                                                                                                                                       |                3 | 
| Function | extracellular matrix binding                                                                                                                                                                |                3 | 
| Function | NF-kappaB binding                                                                                                                                                                           |                3 | 
| Function | ATPase binding                                                                                                                                                                              |                3 | 
| Function | phosphoprotein binding                                                                                                                                                                      |                3 | 
| Function | serotonin binding                                                                                                                                                                           |                3 | 
| Function | ubiquitin-protein ligase inhibitor activity                                                                                                                                                 |                3 | 
| Function | fructose binding                                                                                                                                                                            |                3 | 
| Function | (S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity                                                                               |                3 | 
| Function | C2H2 zinc finger domain binding                                                                                                                                                             |                3 | 
| Function | acyl carrier activity                                                                                                                                                                       |                2 | 
| Function | succinate dehydrogenase activity                                                                                                                                                            |                2 | 
| Function | SNARE binding                                                                                                                                                                               |                2 | 
| Function | rRNA (adenine-N6,N6-)-dimethyltransferase activity                                                                                                                                          |                2 | 
| Function | peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity                                                                                                                          |                2 | 
| Function | C-4 methylsterol oxidase activity                                                                                                                                                           |                2 | 
| Function | RNA cap binding                                                                                                                                                                             |                2 | 
| Function | galactosylceramide sulfotransferase activity                                                                                                                                                |                2 | 
| Function | complement component C1q binding                                                                                                                                                            |                2 | 
| Function | farnesylated protein binding                                                                                                                                                                |                2 | 
| Function | retinoic acid binding                                                                                                                                                                       |                2 | 
| Function | DNA helicase activity                                                                                                                                                                       |                2 | 
| Function | left-handed Z-DNA binding                                                                                                                                                                   |                2 | 
| Function | specific RNA polymerase II transcription factor activity                                                                                                                                    |                2 | 
| Function | RNA polymerase III transcription factor activity                                                                                                                                            |                2 | 
| Function | alpha-ketoacid dehydrogenase activity                                                                                                                                                       |                2 | 
| Function | beta-galactoside alpha-2,3-sialyltransferase activity                                                                                                                                       |                2 | 
| Function | AMP deaminase activity                                                                                                                                                                      |                2 | 
| Function | ATP citrate synthase activity                                                                                                                                                               |                2 | 
| Function | D-amino-acid oxidase activity                                                                                                                                                               |                2 | 
| Function | DNA primase activity                                                                                                                                                                        |                2 | 
| Function | methylated-DNA-[protein]-cysteine S-methyltransferase activity                                                                                                                              |                2 | 
| Function | N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity                                                                                                                                      |                2 | 
| Function | acetylcholinesterase activity                                                                                                                                                               |                2 | 
| Function | adenosylhomocysteinase activity                                                                                                                                                             |                2 | 
| Function | aldehyde dehydrogenase [NAD(P)+] activity                                                                                                                                                   |                2 | 
| Function | amidophosphoribosyltransferase activity                                                                                                                                                     |                2 | 
| Function | aminomethyltransferase activity                                                                                                                                                             |                2 | 
| Function | aralkylamine N-acetyltransferase activity                                                                                                                                                   |                2 | 
| Function | arylamine N-acetyltransferase activity                                                                                                                                                      |                2 | 
| Function | dephospho-CoA kinase activity                                                                                                                                                               |                2 | 
| Function | diamine N-acetyltransferase activity                                                                                                                                                        |                2 | 
| Function | dihydrolipoyl dehydrogenase activity                                                                                                                                                        |                2 | 
| Function | dolichyl-phosphate-mannose-protein mannosyltransferase activity                                                                                                                             |                2 | 
| Function | enoyl-CoA hydratase activity                                                                                                                                                                |                2 | 
| Function | ferroxidase activity                                                                                                                                                                        |                2 | 
| Function | glucosamine-6-phosphate deaminase activity                                                                                                                                                  |                2 | 
| Function | glucose-6-phosphate isomerase activity                                                                                                                                                      |                2 | 
| Function | glutamate-cysteine ligase activity                                                                                                                                                          |                2 | 
| Function | hyalurononglucosaminidase activity                                                                                                                                                          |                2 | 
| Function | hypoxanthine phosphoribosyltransferase activity                                                                                                                                             |                2 | 
| Function | isopentenyl-diphosphate delta-isomerase activity                                                                                                                                            |                2 | 
| Function | lactoylglutathione lyase activity                                                                                                                                                           |                2 | 
| Function | malic enzyme activity                                                                                                                                                                       |                2 | 
| Function | methenyltetrahydrofolate cyclohydrolase activity                                                                                                                                            |                2 | 
| Function | methionine adenosyltransferase activity                                                                                                                                                     |                2 | 
| Function | methylenetetrahydrofolate dehydrogenase (NAD+) activity                                                                                                                                     |                2 | 
| Function | methylenetetrahydrofolate dehydrogenase (NADP+) activity                                                                                                                                    |                2 | 
| Function | phenylalanine 4-monooxygenase activity                                                                                                                                                      |                2 | 
| Function | endoribonuclease activity                                                                                                                                                                   |                2 | 
| Function | ribonuclease H activity                                                                                                                                                                     |                2 | 
| Function | deoxyribonuclease I activity                                                                                                                                                                |                2 | 
| Function | alpha-L-fucosidase activity                                                                                                                                                                 |                2 | 
| Function | phosphatidylcholine-sterol O-acyltransferase activity                                                                                                                                       |                2 | 
| Function | phosphatidylethanolamine N-methyltransferase activity                                                                                                                                       |                2 | 
| Function | phosphatidylserine decarboxylase activity                                                                                                                                                   |                2 | 
| Function | phosphoglucomutase activity                                                                                                                                                                 |                2 | 
| Function | phosphoglycerate kinase activity                                                                                                                                                            |                2 | 
| Function | phospholipase activity                                                                                                                                                                      |                2 | 
| Function | lysophospholipase activity                                                                                                                                                                  |                2 | 
| Function | phospholipase C activity                                                                                                                                                                    |                2 | 
| Function | phospholipase D activity                                                                                                                                                                    |                2 | 
| Function | protein histidine kinase activity                                                                                                                                                           |                2 | 
| Function | MAP kinase activity                                                                                                                                                                         |                2 | 
| Function | protein-L-isoaspartate (D-aspartate) O-methyltransferase activity                                                                                                                           |                2 | 
| Function | pseudouridylate synthase activity                                                                                                                                                           |                2 | 
| Function | pyruvate dehydrogenase (acetyl-transferring) kinase activity                                                                                                                                |                2 | 
| Function | ribose-5-phosphate isomerase activity                                                                                                                                                       |                2 | 
| Function | selenide, water dikinase activity                                                                                                                                                           |                2 | 
| Function | succinate-CoA ligase (ADP-forming) activity                                                                                                                                                 |                2 | 
| Function | succinate-CoA ligase (GDP-forming) activity                                                                                                                                                 |                2 | 
| Function | thiosulfate sulfurtransferase activity                                                                                                                                                      |                2 | 
| Function | thymidylate kinase activity                                                                                                                                                                 |                2 | 
| Function | aspartate-tRNA ligase activity                                                                                                                                                              |                2 | 
| Function | tryptophan 2,3-dioxygenase activity                                                                                                                                                         |                2 | 
| Function | urate oxidase activity                                                                                                                                                                      |                2 | 
| Function | uridine kinase activity                                                                                                                                                                     |                2 | 
| Function | uroporphyrinogen decarboxylase activity                                                                                                                                                     |                2 | 
| Function | protein kinase inhibitor activity                                                                                                                                                           |                2 | 
| Function | phosphoprotein phosphatase inhibitor activity                                                                                                                                               |                2 | 
| Function | leukotriene receptor activity                                                                                                                                                               |                2 | 
| Function | neuropeptide Y receptor activity                                                                                                                                                            |                2 | 
| Function | GTPase inhibitor activity                                                                                                                                                                   |                2 | 
| Function | growth hormone receptor binding                                                                                                                                                             |                2 | 
| Function | epidermal growth factor receptor binding                                                                                                                                                    |                2 | 
| Function | ryanodine-sensitive calcium-release channel activity                                                                                                                                        |                2 | 
| Function | inward rectifier potassium channel activity                                                                                                                                                 |                2 | 
| Function | L-glutamate transmembrane transporter activity                                                                                                                                              |                2 | 
| Function | nucleotide-sugar transmembrane transporter activity                                                                                                                                         |                2 | 
| Function | pyrimidine transmembrane transporter activity                                                                                                                                               |                2 | 
| Function | sugar:hydrogen symporter activity                                                                                                                                                           |                2 | 
| Function | water transmembrane transporter activity                                                                                                                                                    |                2 | 
| Function | nucleoside:sodium symporter activity                                                                                                                                                        |                2 | 
| Function | folic acid binding                                                                                                                                                                          |                2 | 
| Function | lipoprotein binding                                                                                                                                                                         |                2 | 
| Function | high-density lipoprotein binding                                                                                                                                                            |                2 | 
| Function | phosphoric diester hydrolase activity                                                                                                                                                       |                2 | 
| Function | UDP-glucose:hexose-1-phosphate uridylyltransferase activity                                                                                                                                 |                2 | 
| Function | O-methyltransferase activity                                                                                                                                                                |                2 | 
| Function | succinate dehydrogenase (ubiquinone) activity                                                                                                                                               |                2 | 
| Function | omega peptidase activity                                                                                                                                                                    |                2 | 
| Function | 5'-nucleotidase activity                                                                                                                                                                    |                2 | 
| Function | DNA bending activity                                                                                                                                                                        |                2 | 
| Function | gamma-butyrobetaine dioxygenase activity                                                                                                                                                    |                2 | 
| Function | arachidonic acid epoxygenase activity                                                                                                                                                       |                2 | 
| Function | glycoprotein 6-alpha-L-fucosyltransferase activity                                                                                                                                          |                2 | 
| Function | ribonuclease inhibitor activity                                                                                                                                                             |                2 | 
| Function | D-aspartate oxidase activity                                                                                                                                                                |                2 | 
| Function | alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity                                                                                                              |                2 | 
| Function | alpha-N-acetylgalactosaminidase activity                                                                                                                                                    |                2 | 
| Function | isovaleryl-CoA dehydrogenase activity                                                                                                                                                       |                2 | 
| Function | benzodiazepine receptor activity                                                                                                                                                            |                2 | 
| Function | phosphatidylcholine transmembrane transporter activity                                                                                                                                      |                2 | 
| Function | microtubule-severing ATPase activity                                                                                                                                                        |                2 | 
| Function | protein phosphatase type 1 regulator activity                                                                                                                                               |                2 | 
| Function | small protein activating enzyme activity                                                                                                                                                    |                2 | 
| Function | rRNA methyltransferase activity                                                                                                                                                             |                2 | 
| Function | 7-alpha-hydroxysteroid dehydrogenase activity                                                                                                                                               |                2 | 
| Function | agmatinase activity                                                                                                                                                                         |                2 | 
| Function | coreceptor activity                                                                                                                                                                         |                2 | 
| Function | glutathione disulfide oxidoreductase activity                                                                                                                                               |                2 | 
| Function | glycerol transmembrane transporter activity                                                                                                                                                 |                2 | 
| Function | adenine transmembrane transporter activity                                                                                                                                                  |                2 | 
| Function | ATP-activated inward rectifier potassium channel activity                                                                                                                                   |                2 | 
| Function | phosphate carrier activity                                                                                                                                                                  |                2 | 
| Function | secondary active monocarboxylate transmembrane transporter activity                                                                                                                         |                2 | 
| Function | tetracycline:hydrogen antiporter activity                                                                                                                                                   |                2 | 
| Function | translation release factor activity, codon specific                                                                                                                                         |                2 | 
| Function | nickel ion binding                                                                                                                                                                          |                2 | 
| Function | urocanate hydratase activity                                                                                                                                                                |                2 | 
| Function | acyl-CoA thioesterase activity                                                                                                                                                              |                2 | 
| Function | octanoyltransferase activity                                                                                                                                                                |                2 | 
| Function | glutamate binding                                                                                                                                                                           |                2 | 
| Function | oxidoreductase activity, acting on CH-OH group of donors                                                                                                                                    |                2 | 
| Function | oxidoreductase activity, acting on diphenols and related substances as donors                                                                                                               |                2 | 
| Function | spermine synthase activity                                                                                                                                                                  |                2 | 
| Function | hydrolase activity, hydrolyzing N-glycosyl compounds                                                                                                                                        |                2 | 
| Function | hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides                                                                                                     |                2 | 
| Function | hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines                                                                                                   |                2 | 
| Function | intramolecular oxidoreductase activity, transposing C=C bonds                                                                                                                               |                2 | 
| Function | ligase activity, forming aminoacyl-tRNA and related compounds                                                                                                                               |                2 | 
| Function | acid-amino acid ligase activity                                                                                                                                                             |                2 | 
| Function | carbon-nitrogen ligase activity, with glutamine as amido-N-donor                                                                                                                            |                2 | 
| Function | ligand-dependent nuclear receptor binding                                                                                                                                                   |                2 | 
| Function | myosin binding                                                                                                                                                                              |                2 | 
| Function | ceramidase activity                                                                                                                                                                         |                2 | 
| Function | purine nucleotide binding                                                                                                                                                                   |                2 | 
| Function | oxidative phosphorylation uncoupler activity                                                                                                                                                |                2 | 
| Function | 5'-flap endonuclease activity                                                                                                                                                               |                2 | 
| Function | Wnt-protein binding                                                                                                                                                                         |                2 | 
| Function | acetoacetyl-CoA reductase activity                                                                                                                                                          |                2 | 
| Function | S-formylglutathione hydrolase activity                                                                                                                                                      |                2 | 
| Function | nucleobase, nucleoside, nucleotide kinase activity                                                                                                                                          |                2 | 
| Function | kinase inhibitor activity                                                                                                                                                                   |                2 | 
| Function | phosphatase inhibitor activity                                                                                                                                                              |                2 | 
| Function | deaminase activity                                                                                                                                                                          |                2 | 
| Function | calcium channel inhibitor activity                                                                                                                                                          |                2 | 
| Function | protein kinase regulator activity                                                                                                                                                           |                2 | 
| Function | benzodiazepine receptor binding                                                                                                                                                             |                2 | 
| Function | PDZ domain binding                                                                                                                                                                          |                2 | 
| Function | guanylate cyclase regulator activity                                                                                                                                                        |                2 | 
| Function | structural constituent of epidermis                                                                                                                                                         |                2 | 
| Function | cyclin binding                                                                                                                                                                              |                2 | 
| Function | DNA polymerase processivity factor activity                                                                                                                                                 |                2 | 
| Function | Hsp70 protein binding                                                                                                                                                                       |                2 | 
| Function | GTP-dependent protein binding                                                                                                                                                               |                2 | 
| Function | cysteine desulfurase activity                                                                                                                                                               |                2 | 
